Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,
2024-02-06 14:54:38.993807 +0000 UTC,10.126.112.48,48064,142.250.187.196,443,6,22,2476,20,27167,52,112,714,150,52,1358,2852,1128,3000,6559714,33426000,10838276,1000,5661105,36243000,10985067,137754000,137754000,137754000,137754000,0,0,0,0,0,22,2476,20,27167,7,15,0,0,1200,1048,0,32
2024-02-06 14:54:38.996762 +0000 UTC,10.126.112.48,44232,142.250.187.214,443,6,27,2686,26,51459,52,99,711,137,52,1979,2852,1175,6000,6432846,35987000,10841745,1000,5558040,37602000,10237611,167254000,167254000,167254000,167254000,0,0,0,0,0,27,2686,26,51459,7,22,0,0,1412,1360,0,0
2024-02-06 14:54:39.019298 +0000 UTC,10.126.112.48,49706,142.250.179.225,443,6,17,2239,15,12933,52,131,713,171,52,862,2852,1102,2000,11641750,61186000,18076165,1000,11505500,62837000,19850237,186268000,186268000,186268000,186268000,0,0,0,0,0,17,2239,15,12933,8,10,0,0,892,788,0,0
2024-02-06 14:54:39.031249 +0000 UTC,10.126.112.48,48392,216.58.213.10,443,6,32,3487,38,49886,52,108,721,137,52,1312,2852,1316,8000,9716580,57169000,15189679,1000,7367864,52328000,13083793,301214000,301214000,301214000,301214000,0,0,0,0,0,32,3487,38,49886,12,27,0,0,1672,1984,0,0
2024-02-06 14:52:29.847161 +0000 UTC,10.126.112.48,36874,212.58.237.129,443,6,42,4069,41,228673,52,96,703,121,52,5577,37770,8639,12000,14505513,165004000,31535416,1000,13363500,185906000,38081682,132879303000,15452000,111538600,473819000,202560416,3235463000,33080402500,58561969000,-9223372036854775808,8,813,8,45734,12,26,0,0,2216,2140,0,0
2024-02-06 14:54:45.380551 +0000 UTC,10.126.112.48,42404,18.172.89.125,443,6,11,1530,9,4957,52,139,727,202,52,550,2908,991,12000,7103000,15239000,7081975,280000,7061750,23768000,9131810,71030000,71030000,71030000,71030000,0,0,0,0,0,11,1530,9,4957,4,5,0,0,580,476,0,0
2024-02-06 14:55:04.216024 +0000 UTC,10.126.112.48,44724,163.172.221.58,443,6,15,2237,15,6369,52,149,569,147,52,424,2948,764,13000,18261714,54809000,18588711,29768000,15627428,53171000,18123603,255664000,255664000,255664000,255664000,0,0,0,0,0,15,2237,15,6369,7,9,0,0,788,788,0,0
2024-02-06 14:53:30.033107 +0000 UTC,10.126.112.48,46104,192.229.221.95,80,6,17,1308,15,1525,52,76,468,100,52,101,789,190,32000,12071750,18474000,8202909,2019000,9257000,16495000,10236077,116035919000,12595000,18222230,33278000,5592752,5357170000,9649919166,10213218000,-9223372036854775808,1,100,1,117,1,1,0,0,892,788,0,0
2024-02-06 14:53:30.033127 +0000 UTC,10.126.112.48,46116,192.229.221.95,80,6,17,1308,15,1525,52,76,468,100,52,101,789,190,152000,11773750,17378000,7846933,1134000,8779000,16424000,10811662,116035907000,12572000,17509692,32043000,5247513,5573917000,9650690083,10133013000,-9223372036854775808,1,100,1,117,1,1,0,0,892,788,0,0
2024-02-06 14:53:30.033141 +0000 UTC,10.126.112.48,46118,192.229.221.95,80,6,17,1308,15,1525,52,76,468,100,52,101,789,190,101000,11724250,16285000,7787968,1434000,8209500,14985000,9582003,116036889000,10042000,15389769,30894000,5311935,5581632000,9653068500,10134151000,-9223372036854775808,1,100,1,117,1,1,0,0,892,788,14000,0
2024-02-06 14:55:26.937613 +0000 UTC,10.126.112.48,58704,142.250.187.196,443,6,15,3441,16,6500,52,229,1676,434,52,406,2852,759,20000,8374071,28814000,9611656,1000,6537066,27168000,9395758,117237000,117237000,117237000,117237000,0,0,0,0,0,15,3441,16,6500,8,7,0,0,788,840,0,0
2024-02-06 14:55:27.067054 +0000 UTC,10.126.112.48,58632,172.217.16.228,443,6,15,2113,12,6917,52,140,714,178,52,576,2852,856,21000,10954785,46230000,14288249,0,11963272,44675000,16263761,153367000,153367000,153367000,153367000,0,0,0,0,0,15,2113,12,6917,8,7,0,0,788,632,0,0
2024-02-06 14:52:40.550973 +0000 UTC,10.126.112.48,49028,104.18.40.148,443,6,41,3671,45,128660,52,89,714,113,52,2859,5844,2336,4000,20846594,426102000,70180527,364000,16149487,470468000,73799041,171635412000,10108000,192831000,683885000,328155470,52705923000,56954696000,59235903000,-9223372036854775808,10,917,11,32165,11,35,0,0,2140,2348,0,0
2024-02-06 14:52:40.169957 +0000 UTC,10.126.112.48,46564,104.18.22.208,443,6,106,13548,153,825597,52,127,2157,302,52,5396,59420,10325,2000,13104882,255550000,34021865,367000,8269073,271091000,30855405,172017514000,12889000,334174500,1291579000,638272166,52703072000,56893605333,59282061000,-9223372036854775808,26,3387,38,206399,19,133,0,0,5520,7964,0,0
